ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
2693458	Apples Gala	Apples Gala					763	900.36400kg	1782.72072	1.9377	1780.78302	1780.78302	3475.494	-1694.71	-0.95167
46128582	Apples Gala Box (12KG)	Apples Gala Box (12KG)					23		521.5	0	521.5	521.5	488.5	33	0.06328
2602093	Apples Golden	Apples Golden					589	817.96300kg	1619.56674	11.7098	1607.85694	1607.85694	858.84708	749.01	0.46584
4630982	Apples Golden Box	Golden Box					1		21	0	21	21	15	6	0.28571
46128583	Apples Golden Box (12KG)	Apples Golden Box (12KG)					9		190.5	0	190.5	190.5	152	38.5	0.2021
4577778	Apples Granny	Apples Granny					618	732.86800kg	1451.07864	5.6372	1445.44144	1445.44144	3882.86292	-2437.42	-1.68628
7844080	Apples Granny box	Apples Granny box					3		63	1	62	62	45	17	0.27419
46128584	Apples Granny Box (12KG)	Apples Granny Box (12KG)					2		50.5	0	50.5	50.5	48	2.5	0.0495
46128604	Apples Joya	Apples Joya					37	33.71600kg	66.75768	0.136	66.62168	66.62168	22.25256	44.37	0.666
4577780	Apples Pink Lady	Apples Pink Lady					556	431.59200kg	1377.93936	0	1377.93936	1377.93936	1832.64	-454.7	-0.32999
46128585	Apples Pink Lady Box (12KG)	Apples Pink Lady Box (12KG)					6		185.5	0	185.5	185.5	162	23.5	0.12668
4577781	Apples Red Delicious	Apples Red Delicious					335	248.24400kg	487.30024	1.09	486.21024	486.21024	188.4976	297.71	0.61231
32888404	Apples Red Delicious	Apples Red Delicious					1		21	0	21	21	14	7	0.33333
46128586	Apples Red Delicious Box (12KG)	Apples Red Delicious Box (12KG)					1		22	0	22	22	16	6	0.27273
	Apricot 05/07						1		3.78	0	3.78	3.78	0	3.78	1
46128454	Apricot Loose	Apricot Loose					97		30.2	0	30.2	30.2	39.36	-9.16	-0.30331
45678420	Apricot loose	Apricot loose					35	12.99400kg	59.0258	0	59.0258	59.0258	0	59.03	1
46128458	Apricot Loose Box (2KG)	Apricot Loose Box (2KG)					3		33	0	33	33	32	1	0.0303
20296294	Apricot Punnet	Apricot Punnet					89		162.6	0	162.6	162.6	69.7	92.9	0.57134
7516865	Apricot punnet	Apricot punnet					46		106.94	0	106.94	106.94	55.2	51.74	0.48382
	apricots						1		1.75	0	1.75	1.75	0	1.75	1
4590120	Aubergine	Aubergine					961	744.20800kg	2992.6648	21.7986	2970.8662	2970.8662	4237.5814	-1266.72	-0.42638
9873230	Aubergine box (5KG)	Aubergine box (5KG)					36		477.5	0	477.5	477.5	321	156.5	0.32775
46505985	Avacado 4 for £1	Avacado 4 for £1					20		20	0	20	20	0	20	1
-39108	avacado bag						1		1.8	0	1.8	1.8	0	1.8	1
2602077	Avocado	Avocado					4633		5747.67	22.1242	5725.5458	5725.5458	3946.94	1778.61	0.31064
19810787	Avocado 4 for £1	Avocado 4 for £1					138		138	0	138	138	0	138	1
46519043	Avocado 5 for £1	Avocado 5 or £1					822		548.33	0	548.33	548.33	0	548.33	1
46128579	Avocado Box (20)	Avocado Box (20)					52		927.5	0	927.5	927.5	741.5	186	0.20054
46175537	Baby carrot	Baby carrot					1	0.16800kg	0.53424	0	0.53424	0.53424	0	0.53	1
47064985	Baby Corn Pack	Baby Corn Pack					2		2.98	0	2.98	2.98	0	2.98	1
	baby roast						3		18	2.4179	15.5821	15.5821	0	15.58	1
	babypots						1		3.58	0	3.58	3.58	0	3.58	1
-39108	banana						3		3.8	0	3.8	3.8	0	3.8	1
4577782	Banana	Banana					3601	3413.08300kg	5459.28914	26.7106	5432.57854	5432.57854	3996.42076	1436.16	0.26436
46128587	Banana Box (20KG)	Banana Box (20KG)					21		472.5	22.5	450	450	388.5	61.5	0.13667
	banana half price						1		1.94	0	1.94	1.94	0	1.94	1
45840215	Bean Sprouts	Bean Sprouts					17		15.13	0	15.13	15.13	8.5	6.63	0.4382
24800449	Beef tomato	Beef tomato					1		29	0	29	29	22	7	0.24138
	beetroot						1		0.6	0	0.6	0.6	0	0.6	1
46621621	Beetroot Loose	Beetroot Loose					117	97.84000kg	193.7232	1.2027	192.5205	192.5205	0	192.52	1
4590096	Beetroot Raw	Beetroot Raw					39	57.73800kg	75.0594	0	75.0594	75.0594	34.6428	40.42	0.53847
4590162	Berries Blueberries	Blueberries					10		19	0	19	19	0	19	1
45958425	Berrylicious Breakfast Blend	Berrylicious Breakfast Blend					1		5.95	0	5.95	5.95	0	5.95	1
46621621	Beetroot Loose	Beetroot Loose					117	97.84000kg	193.7232	1.2027	192.5205	192.5205	0	192.52	1
4590114	Courgettes	Courgettes					2668	2283.29000kg	6350.2408	20.8494	6329.3914	6329.3914	2061.15348	4268.24	0.67435
46030432	Courgettes Box (5KG)	Courgettes Box (5KG)					35		293.6	0	293.6	293.6	179.3	114.3	0.38931
4590118	Cucumber	Cucumber					12198		8506.92	37.7508	8469.1692	8469.1692	5117.41875	3351.75	0.39576
7884946	Cucumber Box	Cucumber Box					141		1273.4	1.82	1271.58	1271.58	902	369.58	0.29065
4631295	Dates Medjool Loose	Dates Medjoul California					1082	224.29000kg	3134.6491	31.8116	3102.8375	3102.8375	1788.24	1314.6	0.42368
10229222	Dates Medjoul 1kg Box	Dates mejoul 1kg box					5		44.95	0	44.95	44.95	15	29.95	0.6663
45702915	Dragon Fruit	Dragon Fruit					34		106.19	0	106.19	106.19	0	106.19	1
4590164	Fine Beans	Fine Beans					524		885.56	8.117	877.443	877.443	571.05	306.39	0.34919
4590122	Garlic Bulb Small	Garlic Bulb Small					1490		715.2	5.3783	709.8217	709.8217	0	709.82	1
46152000	Garlic Pre-pack	Garlic Pre-pack					196		294	2.0241	291.9759	291.9759	0	291.98	1
4577783	Grapefruit Red	Grapefruit Red					1607		926.41	0.514	925.896	925.896	251.14	674.76	0.72876
4577785	Grapes Green Punnet	Grapes Green Punnet					651		1758.32	18.6052	1739.7148	1739.7148	959.9	779.81	0.44824
4577784	Grapes Red Punnet	Grapes Red Punnet					1720		4602.94	19.3213	4583.6187	4583.6187	2379.8	2203.82	0.4808
4577787	Grapes White	Grapes White					40	36.09400kg	162.06206	0	162.06206	162.06206	115.5008	46.56	0.2873
14709407	Horseradish	Horseradish					109	77.18200kg	764.1018	0	764.1018	764.1018	347.319	416.78	0.54545
4577795	Kiwi	Kiwi					2753		1122.71	8.9944	1113.7156	1113.7156	630.14607	483.57	0.43419
9895350	Kiwi Box (28)	Kiwi Box (28)					9		226	0	226	226	190	36	0.15929
7919703	Kiwi punnet	Kiwi punnet					139		262.71	0	262.71	262.71	139	123.71	0.4709
46030632	Kohlrabi	Kohlrabi					384	235.74600kg	719.42762	7.4235	712.00412	712.00412	456.065	255.94	0.35947
4590124	Kohlrabi	Kohlrabi					332	226.44400kg	694.5328	0	694.5328	694.5328	654.42316	40.11	0.05775
4590125	Leeks	Leeks					1198	634.36400kg	1825.91362	5.9433	1819.97032	1819.97032	1205.2916	614.68	0.33774
4577796	Lemons	Lemons					2101		945.45	6.5517	938.8983	938.8983	744.15	194.75	0.20742
4590128	Lettuce Iceberg	Lettuce Iceberg					738		737.22	5.098	732.122	732.122	544.4	187.72	0.25641
14774910	Lettuce Romaine / Kos	Lettuce Romaine					399		817.71	1.3597	816.3503	816.3503	416.5	399.85	0.4898
9764517	Lime	Lime					298		128.14	5.0064	123.1336	123.1336	47.68	75.45	0.61278
4592062	Lychees	Lychees					58	14.64000kg	96.008	0	96.008	96.008	50.046	45.96	0.47874
19997644	Mango	Mango					698		705.12	0.8658	704.2542	704.2542	1012.42	-308.17	-0.43758
15600527	Mango LARGE	Mango LARGE					587		874.63	4.776	869.854	869.854	645.7	224.15	0.25769
4580418	Melon Canteloupe	Melon Canteloupe					350		801.5	12.3675	789.1325	789.1325	560	229.13	0.29036
4580415	Melon Galia	Melon Galia					378		658.02	2.8205	655.1995	655.1995	467.26	187.94	0.28684
7516789	Melon Honeydew	Melon Honeydew					562		1511.78	4.8421	1506.9379	1506.9379	1188	318.94	0.21165
4592058	Milk	Milk					12358		17177.62	2.918	17174.702	17174.702	14706.02	2468.68	0.14374
4590129	Mushroom	Mushroom					1969	809.67000kg	3674.3014	8.8063	3665.4951	3665.4951	1943.208	1722.29	0.46986
46578422	Mushroom Punnet	Mushroom Punnet					545		806.6	1.3822	805.2178	805.2178	0	805.22	1
7878079	Mushroom Tray (2.27KG)	Mushroom Tray (2.27KG)					99		807.2	0	807.2	807.2	512.5	294.7	0.36509
4580419	Nectarine Loose	Nectarine Loose					930		419.75	0	419.75	419.75	279	140.75	0.33532
4590131	Onion Red	Onion Red					806	309.54600kg	559.5399	2.8789	556.661	556.661	331.21422	225.45	0.405
