ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
-39108	misc onin sack *6							1		87	0	87	87	0	87	1
-39108	misc onins							1		1	0	1	1	0	1	1
-39108	misc onion							11		20.5	0	20.5	20.5	0	20.5	1
-39108	misc onion sack							1		17.5	0	17.5	17.5	0	17.5	1
-39108	misc onions							26		192.25	2.7537	189.4963	189.4963	0	189.5	1
-39108	misc onons							1		5	0	5	5	0	5	1
-39108	misc orange							1		4.99	0.8328	4.1572	4.1572	0	4.16	1
-39108	misc oranges							10		52.4	2.5613	49.8387	49.8387	0	49.84	1
-39108	misc orangs							1		4.99	0	4.99	4.99	0	4.99	1
-39108	misc ots							1		16	0	16	16	0	16	1
-39108	misc pach							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc papaya							8		22.88	4.8983	17.9817	17.9817	0	17.98	1
-39108	misc paper bags							1		1.8	0	1.8	1.8	0	1.8	1
-39108	misc passion							10		21.5	1	20.5	20.5	0	20.5	1
-39108	misc peach							23		43.97	0	43.97	43.97	0	43.97	1
-39108	misc peaches							12		28.45	0	28.45	28.45	0	28.45	1
-39108	misc pears							2		25.15	0	25.15	25.15	0	25.15	1
-39108	misc peeled garlic							3		18.5	0	18.5	18.5	0	18.5	1
-39108	misc peeled pots							2		23.42	0	23.42	23.42	0	23.42	1
-39108	misc peeledgarlic							1		6	0	6	6	0	6	1
-39108	misc pepoer							1		0.3	0	0.3	0.3	0	0.3	1
-39108	misc pepper							2		5.49	0	5.49	5.49	0	5.49	1
-39108	misc peppers							4		8.79	0	8.79	8.79	0	8.79	1
-39108	misc pesach book							1		15	0	15	15	0	15	1
-39108	misc piatoes							1		13	0	13	13	0	13	1
-39108	misc pine							2		1	0	1	1	0	1	1
-39108	misc pineapple							3		2	0	2	2	0	2	1
-39108	misc pink lady							5		85.98	0	85.98	85.98	0	85.98	1
-39108	misc pistachios							1		4	0	4	4	0	4	1
-39108	misc pitatoes							1		16.5	0	16.5	16.5	0	16.5	1
-39108	misc pits							3		16.04	0	16.04	16.04	0	16.04	1
-39108	misc plms							1		24	0	24	24	0	24	1
-39108	misc plum							1		11	0	11	11	0	11	1
-39108	misc plums							1		10	0	10	10	0	10	1
-39108	misc pomello							1		0.99	0	0.99	0.99	0	0.99	1
-39108	misc pomllo							1		0.99	0	0.99	0.99	0	0.99	1
-39108	misc pomme							35		79.1	0	79.1	79.1	0	79.1	1
-39108	misc pos							1		1	0	1	1	0	1	1
-39108	misc potatoes							13		159.89	0	159.89	159.89	0	159.89	1
-39108	misc pots							25		234.78	2.9996	231.7804	231.7804	0	231.78	1
-39108	misc pts							2		2	0	2	2	0	2	1
-39108	misc qpples							1		0.9	0	0.9	0.9	0	0.9	1
-39108	misc qvo							5		4.4	0.0805	4.3195	4.3195	0	4.32	1
-39108	misc qvocado							1		19	0	19	19	0	19	1
-39108	misc radi							1		1	0	1	1	0	1	1
-39108	misc radish							66		240.8	0.1398	240.6602	240.6602	0	240.66	1
-39108	misc rduced							1		4	0	4	4	0	4	1
-39108	misc red nin sack							1		7	0	7	7	0	7	1
-39108	misc sa							1		13	0	13	13	0	13	1
-39108	misc sack carrots							2		19	0	19	19	0	19	1
-39108	misc sack onions							4		49.5	0	49.5	49.5	0	49.5	1
-39108	misc sack pits							2		32	0	32	32	0	32	1
-39108	misc sack potatoes							5		77.5	0	77.5	77.5	0	77.5	1
-39108	misc sack pots							21		351	0	351	351	0	351	1
-39108	misc sack spanish							5		89	0	89	89	0	89	1
-39108	misc sackpots							1		16	0	16	16	0	16	1
-39108	misc sacks pots							1		32	0	32	32	0	32	1
-39108	misc shallot							1		1.6	0	1.6	1.6	0	1.6	1
-39108	misc shallots							3		1.6	0	1.6	1.6	0	1.6	1
-39108	misc sharon							23		87.5	1.2281	86.2719	86.2719	0	86.27	1
-39108	misc sharon fruit							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc sof fruit							1		5	0	5	5	0	5	1
-39108	misc soft fruit							5		20	0	20	20	0	20	1
-39108	misc softfruit							1		5	0	5	5	0	5	1
-39108	misc sot fruit							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc spanish onion							1		17.5	0	17.5	17.5	0	17.5	1
-39108	misc spanish onions							2		35.5	0	35.5	35.5	0	35.5	1
-39108	misc sprouts							1		0.4	0.0805	0.3195	0.3195	0	0.32	1
-39108	misc stafruit							1		1	0	1	1	0	1	1
-39108	misc star							1		1	0	1	1	0	1	1
-39108	misc starfruit							7		11	0	11	11	0	11	1
-39108	misc staws							1		3.2	0	3.2	3.2	0	3.2	1
-39108	misc steas							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc stras							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc straw							1		1.6	0	1.6	1.6	0	1.6	1
-39108	misc strawberry							8		33.6	0	33.6	33.6	0	33.6	1
-39108	misc strawnerry							1		4	0	4	4	0	4	1
-39108	misc straws							15		69.3	0	69.3	69.3	0	69.3	1
-39108	misc sweet pots							1		12	0	12	12	0	12	1
-39108	misc sweetpotatoes							1		17	0	17	17	0	17	1
-39108	misc tamarind							4		4.4	0	4.4	4.4	0	4.4	1
-39108	misc tangerine							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc tangy							5		14.72	0	14.72	14.72	0	14.72	1
-39108	misc tms							3		4.5	0	4.5	4.5	0	4.5	1
