ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
45702915	Dragon Fruit	Dragon Fruit						50		100	0	100	100	0	100	1
-39108	Dragon fruit 15 in total							1		15	0	15	15	0	15	1
-39108	eggplant							1		9.5	0	9.5	9.5	0	9.5	1
-39108	eggs							1		6.47	0	6.47	6.47	0	6.47	1
4580448	Eggs Tray LARGE	Eggs Tray						1069		7641.84	20.0768	7621.7632	7621.7632	5826.05	1795.71	0.2356
48702518	Eggs Tray MEDIUM	Eggs Tray						60		354	0	354	354	327	27	0.07627
47887041	Exotics Tu Bishvat	Exotic Fruit Tu Bishvat						465	116.44200kg	2094.79234	0	2094.79234	2094.79234	0	2094.79	1
50207602	Extra Large Apple	Extra Large Apple						12		35.88	0	35.88	35.88	0	35.88	1
50500364	Fennel	Fennel						3		3.6	0	3.6	3.6	0	3.6	1
-39108	fig							1		0.5	0	0.5	0.5	0	0.5	1
-39108	figs							1		3.5	0	3.5	3.5	0	3.5	1
4590164	Fine Beans	Fine Beans						436		736.84	4.228	732.612	732.612	392.4	340.21	0.46438
51069422	Fruit Shoot	Fruit Shoot						73		36.5	0	36.5	36.5	0	36.5	1
51069425	Fruit Shoot 3 for £1	Fruit Shoot 3 for £1						220		220	0	220	220	0	220	1
50336822	Garlic Bulb	Garlic Bulb Large						680		523.6	0.5633	523.0367	523.0367	0	523.04	1
4590122	Garlic Bulb Small	Garlic Bulb Small						646		347.11	5.8917	341.2183	341.2183	0	341.22	1
46030591	Garlic Net	Garlic Net						4		9.6	0	9.6	9.6	46	-36.4	-3.79167
46152000	Garlic Pre-pack	Garlic Pre-pack						513		1231.2	1.0961	1230.1039	1230.1039	0	1230.1	1
45702909	Ginger	Ginger						10	0.87400kg	5.244	0	5.244	5.244	0	5.24	1
-39108	golden box							1		22.5	0	22.5	22.5	0	22.5	1
-39108	grandilla							2		2	0	2	2	0	2	1
	Grape							1		20	0	20	20	0	20	1
	Grape and watermelon							1		42	0	42	42	0	42	1
	Grape box							1		20	0	20	20	0	20	1
	grapefruit							1		24	0	24	24	0	24	1
4577783	Grapefruit Red	Grapefruit Red						1246		855.74	10.3175	845.4225	845.4225	722.68	122.74	0.14518
	grapes							1		20	0	20	20	0	20	1
-39108	grapes							4		82	0	82	82	0	82	1
46646791	Grapes Bag	Grapes Bag						58		165.12	0	165.12	165.12	0	165.12	1
-39108	grapes box							1		20	0	20	20	0	20	1
4577785	Grapes Green Punnet	Grapes Green Punnet						136		326.4	1.3894	325.0106	325.0106	204	121.01	0.37233
4577784	Grapes Red Punnet	Grapes Red Punnet						190		456	1.8953	454.1047	454.1047	190	264.1	0.58159
	horseradish							2		56.1	0	56.1	56.1	0	56.1	1
9620292	Horseradish	Horseradish						102		354.2	0	354.2	354.2	204	150.2	0.42405
14709407	Horseradish	Horseradish						19	14.56600kg	144.2034	0	144.2034	144.2034	65.547	78.66	0.54544
50500343	Horseradish wrapped	Horseradish wrapped						132		462	0	462	462	0	462	1
51130669	Jackfruit	Jackfruit						23		23	0	23	23	0	23	1
-39108	kettuc							1		0.2	0	0.2	0.2	0	0.2	1
-39108	kiwi							1		1.2	0	1.2	1.2	0	1.2	1
4577795	Kiwi	Kiwi						3201		1440.45	15.9711	1424.4789	1424.4789	1657.66986	-233.19	-0.1637
	kiwi berry							1		1.8	0	1.8	1.8	0	1.8	1
-39108	kiwi berry							1		1.8	0	1.8	1.8	0	1.8	1
9895350	Kiwi Box (28)	Kiwi Box (28)						1		0	0	0	0	0	0	0
	kiwi punnet							1		2.99	0	2.99	2.99	0	2.99	1
46998788	Kiwi Punnet	Kiwi Punnet						48		143.52	0	143.52	143.52	0	143.52	1
46030632	Kohlrabi	Kohlrabi						785	573.05800kg	2406.8436	12.9644	2393.8792	2393.8792	1432.645	961.23	0.40154
	kumqas							1		1	0	1	1	0	1	1
48872239	Large Mango	Large Mango						147		136.15	0	136.15	136.15	0	136.15	1
51444342	Large Pomegranate	Large Pomegranate						68		102	0	102	102	68	34	0.33333
4590125	Leeks	Leeks						1076	575.12600kg	1769.19882	10.9342	1758.26462	1758.26462	1092.7394	665.53	0.37851
-39108	leeks sack							1		8	0	8	8	0	8	1
	lemon							1		11	0	11	11	0	11	1
4577796	Lemons	Lemons						2603		1041.2	8.0361	1033.1639	1033.1639	754.87	278.29	0.26936
4590128	Lettuce Iceberg	Lettuce Iceberg						754		830.46	3.7686	826.6914	826.6914	565.5	261.19	0.31595
14774910	Lettuce Romaine / Kos	Lettuce Romaine						1045		1672	0.7991	1671.2009	1671.2009	836	835.2	0.49976
9764517	Lime	Lime						226		97.18	0.775	96.405	96.405	36.16	60.25	0.62492
46059428	Loose Nec/Peach	Loose Nec/Peach						270		121.5	0	121.5	121.5	116.1	5.4	0.04444
-39108	lychee							1		15	0	15	15	0	15	1
-39108	lychee and watermeln							1		25	0	25	25	0	25	1
-39108	lychee box							1		13.5	0	13.5	13.5	0	13.5	1
-39108	lychees							3		30	0	30	30	0	30	1
46181620	Lychees 5 for £1	Lychees 5 for £1						531		531	0.6924	530.3076	530.3076	0	530.31	1
-39108	mango							1		2	0	2	2	0	2	1
49396924	Mango	Mango						689		769.6	12.6613	756.9387	756.9387	968.7	-211.76	-0.27976
19997644	Mango	Mango						1252		1438.9	4.597	1434.303	1434.303	1627.6	-193.3	-0.13477
	mango x 3 for £1							1		1	0	1	1	0	1	1
-39108	marrow							6		10	0	10	10	0	10	1
	marrow							1		2	0	2	2	0	2	1
-39108	marrows							1		2	0	2	2	0	2	1
-39108	melon							25		122.5	0	122.5	122.5	0	122.5	1
	melon							1		22	0	22	22	0	22	1
4580418	Melon Canteloupe	Melon Canteloupe						295		590	11.6805	578.3195	578.3195	472	106.32	0.18384
4580415	Melon Galia	Melon Galia						384		967.2	11.2439	955.9561	955.9561	480	475.96	0.49788
7516789	Melon Honeydew	Melon Honeydew						786		2200.8	11.8601	2188.9399	2188.9399	1768.5	420.44	0.19207
4580417	Melon Piel Desapo	Melon Piel Desapo						9		22.5	0	22.5	22.5	13.5	9	0.4
4592058	Milk	Milk						9049		13432.26	0	13432.26	13432.26	10768.31	2663.95	0.19832
-39108	milk 9 bottles							1		18	0	18	18	0	18	1
-39108	milk x 6							1		6	0	6	6	0	6	1
	mini cucumbers							1		4.49	0	4.49	4.49	0	4.49	1
-39108	mini peppers							1		4.5	0	4.5	4.5	0	4.5	1
48242178	Miniature Salad Potatoes 2.5kg	Miniature potatoes 2.5 kg						815		3812.6	0	3812.6	3812.6	0	3812.6	1
-39108	misbanana							1		0.28	0	0.28	0.28	0	0.28	1
	misc							1		2	0	2	2	0	2	1
-39108	misc							440		1735.99	7.3913	1728.5987	1728.5987	0	1728.6	1
-39108	misc 2 sack pots							1		33	0	33	33	0	33	1
-39108	misc 2 sweet pot boxes							1		24	0	24	24	0	24	1
-39108	misc 3 watermelon							1		15	0	15	15	0	15	1
-39108	misc abergine							1		11.5	0	11.5	11.5	0	11.5	1
-39108	misc apple							5		5.2	0	5.2	5.2	0	5.2	1
-39108	misc apple box							3		59	0	59	59	0	59	1
-39108	misc apple box red del							1		18	0	18	18	0	18	1
-39108	misc apples							24		140	0	140	140	0	140	1
-39108	misc apricot							5		7.2	0	7.2	7.2	0	7.2	1
-39108	misc apricots							12		26	0	26	26	0	26	1
-39108	misc asparagus							2		8.99	0	8.99	8.99	0	8.99	1
-39108	misc aubergine							7		81.5	0	81.5	81.5	0	81.5	1
-39108	misc aubergine box							2		19.6	0	19.6	19.6	0	19.6	1
-39108	misc avo							8		2.95	0	2.95	2.95	0	2.95	1
-39108	misc avocado							7		2.85	0	2.85	2.85	0	2.85	1
-39108	misc avocado 6							1		1	0	1	1	0	1	1
-39108	misc avos							1		14	0	14	14	0	14	1
-39108	misc bab cucumbers							1		4.49	0	4.49	4.49	0	4.49	1
-39108	misc baby c							1		1	0	1	1	0	1	1
-39108	misc baby cue box							1		2	0	2	2	0	2	1
-39108	misc baby cues							31		44.37	0	44.37	44.37	0	44.37	1
-39108	misc baby leeks							1		2	0	2	2	0	2	1
-39108	misc baby pots							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc baby roast							5		69	0	69	69	0	69	1
-39108	misc baby roast box							1		12	0	12	12	0	12	1
-39108	misc baby roastbox							1		12	0	12	12	0	12	1
-39108	misc baby roasters							1		12	0	12	12	0	12	1
-39108	misc baby toms							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misc banana							30		17.73	0	17.73	17.73	0	17.73	1
-39108	misc banana box							1		19	0	19	19	0	19	1
-39108	misc bananas							1		1.15	0	1.15	1.15	0	1.15	1
-39108	misc bananq							1		0.2	0	0.2	0.2	0	0.2	1
-39108	misc beetroot							3		16	0	16	16	0	16	1
